一级指标编码,一级指标中文名称,二级指标编码,二级指标中文名称,三级指标编码,三级指标中文名称,四级指标编码,四级指标中文名称
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100512,其他材料价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100513,机械使用费价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100514,其他费用价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100515,建筑安装工程价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100516,金属材料价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100517,非金属材料价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100518,木、竹材及其制品价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100519,装饰材料及配件价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100520,水暖及厨卫洁具价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100521,电气电料价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100522,仪表及其他价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011005,固定资产投资价格指数_当季（上年同季=100）,A01100523,机械费价格指数_当季值（上年同季=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100601,固定资产投资价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100602,设备、工器具购置价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100603,建筑、安装、装饰工程价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100604,人工费价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100605,材料费价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100606,钢材价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100607,木材价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100608,水泥价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100609,地方建筑材料价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100610,化工材料价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100611,电料价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100612,其他材料价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100613,机械使用费价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011006,固定资产投资价格指数_累计值（上年同期=100）,A01100614,其他费用价格指数_累计值（上年同期=100）
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100701,居民人均可支配收入
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100702,居民人均可支配收入_同比增长
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100703,城镇居民人均可支配收入
A01,国民经济指标,A0110,价格指数,A011007,全国及分城乡居民收支基本情况,A01100704,城镇居民人均可支配收入_同比增长
